Open,High,Low,Close,Volume
23.35000038,23.35000038,21.14999962,21.14999962,124154
23.89999962,24.5,22.20000076,22.20000076,199628
24,24.5,22.77499962,22.77499962,182016
24.45000076,25,24,25,90512
24.29999924,25,23.95000076,23.95000076,81260
23.29999924,25.14999962,23.125,25.14999962,28770
23.42499924,24.45000076,22.14999962,23.22500038,93310
24.57500076,24.57500076,24.57500076,24.57500076,51796
25.79999924,25.79999924,25.79999924,25.79999924,21048
26.97500038,27.07500076,26,27.07500076,216766
27.60000038,28,25.75,27.35000038,192614
27.85000038,28.5,26.5,27.75,161770
28.77499962,29,26.5,26.67499924,153598
29.14999962,29.625,27.35000038,28.75,198514
29.54999924,29.95000076,27.70000076,27.70000076,108632
28.67499924,29.95000076,28.25,28.89999962,61850
27.25,28.5,27.25,28,23368
25.89999962,27.32500076,25.89999962,27.32500076,6736
24.625,24.625,24.625,24.625,13508
25.77499962,25.85000038,23.39999962,23.39999962,220234
25.45000076,26.95000076,24.625,26,172392
25.375,26.22500038,25.07500076,25.27499962,56540
24.97500038,25.85000038,24.32500076,24.52499962,87922
23.75,24.125,23.75,23.75,36498
24,25,23.45000076,24.02499962,54004
23.375,24,23.125,23.125,6946
23.27499962,24.5,22.60000038,24.5,51370
23.82500076,24.125,22.5,23.125,40150
23.70000076,24.875,23.52499962,24.875,53902
23.52499962,24.72500038,22.875,23.5,95530
23.67499924,24,22.54999924,23.625,110054
23.45000076,23.5,22.875,23.04999924,53886
22.92499924,23.75,22.5,22.52499962,62858
23.42499924,23.5,22.04999924,22.04999924,334056
23.625,24,23.14999962,23.32500076,131538
23.5,24.75,23,24.5,95564
23.64999962,23.95000076,23.04999924,23.04999924,27193
23.14999962,23.85000038,22.5,23.5,110246
22.79999924,23.5,22,22.29999924,69010
22.85000038,23.89999962,22.04999924,23.89999962,241242
22.89999962,23.29999924,22.04999924,23,121300
22.85000038,23.79999924,22.5,23.79999924,32902
22.75,23.75,22.14999962,22.14999962,20973
22.85000038,23.54999924,22,23.54999924,30467
21.70000076,23.04999924,21.10000038,23.04999924,214378
21.29999924,22.25,21,22.25,21366
21.25,21.89999962,21.20000076,21.89999962,25085
20.20000076,21.45000076,19.39999962,21.04999924,15757
19.79999924,20.5,19,19.70000076,14004
19.20000076,20.5,18.5,20.04999924,26630
20.64999962,21.10000038,19.54999924,19.54999924,108987
20.85000038,21.79999924,20.5,21.79999924,56744
20,20.95000076,19.70000076,20.85000038,30840
19.85000038,22,19.5,20.89999962,69529
19.35000038,20.75,19.10000038,19.79999924,40213
19.25,19.85000038,18.85000038,19.60000038,46770
18.95000076,20,18.5,19.60000038,55787
18.14999962,19.10000038,18,19,81788
18.35000038,19.20000076,18.14999962,18.95000076,23846
18.64999962,18.95000076,18.20000076,18.75,28035
20.5,20.5,18.79999924,19,149928
22.54999924,22.54999924,19.95000076,21.14999962,388585
24.64999962,24.79999924,21,21,232368
23.89999962,25.64999962,23.45000076,24.64999962,184264
23.64999962,25,23,23,137851
24.39999962,24.79999924,23.64999962,24.25,159659
25.20000076,25.60000038,24,24,339215
25.85000038,26.39999962,25.20000076,25.89999962,256212
25.39999962,26,25.20000076,26,72721
25,26.5,24.39999962,24.75,176168
25.20000076,25.70000076,24.75,25.10000038,99565
25.25,25.45000076,24.25,24.25,56691
25.89999962,26.5,24.25,25.39999962,173335
25.95000076,26.25,25.29999924,25.29999924,49177
25.60000038,26.75,25,25,40000
25,26,24.75,25.79999924,40687
25.29999924,26,24.14999962,25.70000076,83464
24.79999924,26.10000038,24.5,26.10000038,24271
24.75,25.64999962,23.79999924,23.79999924,97225
25.10000038,25.45000076,24.14999962,25.45000076,181794
24.5,25.39999962,23.85000038,25.29999924,111828
25.10000038,25.29999924,23.5,24.25,179413
24.20000076,25.25,23.89999962,24.95000076,43628
23.10000038,24,22.35000038,23.5,52070
24.79999924,25.39999962,21.14999962,24.85000038,295402
25.14999962,25.75,24,25,90529
26.60000038,27,24.39999962,24.54999924,140967
28.35000038,29.25,27.35000038,27.5,232520
28.20000076,29.25,27.25,28,259032
28.39999962,29,26.20000076,27.5,311002
28.35000038,28.89999962,26.70000076,26.70000076,318805
28.75,29.79999924,27.04999924,27.5,357088
29.35000038,30,28.04999924,29,265961
28.25,29,27.5,27.95000076,150356
28.60000038,29.79999924,28.14999962,29.70000076,173327
27.79999924,28.85000038,26.70000076,28.85000038,104213
28.54999924,29.5,26.45000076,27.60000038,132855
29.70000076,29.89999962,28,28,169840
29.39999962,30.5,28.85000038,29.10000038,186828
28.35000038,29.29999924,28.25,29.04999924,94914
27.79999924,29.45000076,27,28.89999962,90420
29.29999924,30,27.25,27.29999924,258251
28,30.10000038,27.64999962,29.95000076,778391
27.95000076,29.25,27.5,28,765280
28.60000038,29.20000076,27.29999924,28.14999962,263584
29.29999924,29.5,28.75,28.85000038,331832
28.89999962,29.5,27.89999962,28.25,250718
28.5,28.95000076,28.14999962,28.95000076,363614
29.04999924,29.5,28.45000076,28.70000076,240663
29.64999962,29.95000076,29.04999924,29.04999924,162011
29.85000038,30.20000076,29.39999962,29.39999962,228754
30.10000038,31,29.20000076,31,56276
30.14999962,30.75,29.64999962,30.5,229315
30,30.5,29.5,30.5,62945
28.45000076,30.29999924,27.20000076,29.60000038,323536
27.25,29.75,26.70000076,29,298520
27.25,28.20000076,27,28,123726
27.5,27.79999924,26.5,26.5,101797
26.70000076,28.14999962,26.29999924,27.85000038,77951
28.45000076,28.75,26.60000038,27.39999962,181937
28.14999962,28.95000076,27.64999962,27.64999962,73323
28.35000038,28.89999962,27.79999924,28.5,59265
28.60000038,29.10000038,28,28.14999962,68680
28.70000076,28.95000076,28.29999924,28.85000038,34337
28.54999924,28.89999962,28.29999924,28.39999962,30391
28.10000038,28.79999924,27.95000076,28.79999924,16350
27.75,28.54999924,27.60000038,28.5,17665
28.54999924,28.89999962,27.39999962,27.39999962,34888
28.64999962,28.89999962,28.35000038,28.35000038,38415
28.14999962,29.39999962,28,29.39999962,9037
27.70000076,28.89999962,27.25,28.89999962,16883
29.39999962,32.25,27.20000076,28.20000076,266911
33.04999924,33.95000076,29.64999962,29.89999962,1329003
